accession_display,accession_id,accessionNumber,accessLevel,acronym_mv,broadcastDate,broadcastStation,callNumberBibliographic_mv,callNumberCollection_mv,callNumberItem,callNumberItemSuffix,callNumberReadingRoom,category,categoryContent_mv,categoryEntity_mv,categoryIndex_mv,categoryMedia_mv,categoryMedium_mv,categoryPublication_mv,categorySub,categorySubSub,child_display_mv,child_id_mv,classificationAuthor_display_mv,classificationAuthor_id_mv,classificationChain,classification_display_mv,classificationForm_display_mv,classificationForm_id_mv,classification_id_mv,classificationNewspaper_comment_mv,classificationNewspaper_text_mv,classificationOther_comment_mv,classificationOther_text_mv,classificationSubject_display_mv,classificationSubject_id_mv,classificationSubjectOther_mv,confidential,content,corporationAbout_comment_mv,corporationAbout_display_mv,corporationAbout_id_mv,corporationAbout_role_mv,corporationAbout_type_mv,corporationAt_display_mv,corporationAt_id_mv,corporationBy_comment_mv,corporationByConference_creator_mv,corporationByConference_display_mv,corporationByConference_id_mv,corporationByConference_role_mv,corporationBy_creator_mv,corporationBy_display_mv,corporationBy_id_mv,corporationBy_role_mv,corporationByTerritory_creator_mv,corporationByTerritory_display_mv,corporationByTerritory_id_mv,corporationByTerritory_role_mv,corporationBy_type_mv,corporation_display_mv,corporation_id_mv,corporationTo_comment_mv,corporationTo_display_mv,corporationTo_id_mv,corporationTo_type_mv,country_mv,dateActivityEnd,dateActivityStart,dateCataloged,dateLifespanComment_mv,dateLifespanEnd,dateLifespanStart,dateModified,dateNote_mv,dateOrigin,dateOriginComment_mv,dateOriginEnd,dateOriginStart,dateOtherComment_mv,dateOther_mv,dateRetention,department,description_text_mv,description_type_mv,digitalObject_display_mv,digitalObject_id_mv,dimension_comment_mv,dimension_depth_mv,dimension_diameter_mv,dimension_height_mv,dimension_width_mv,display,edition,editionNormalized,enveloped,extent,extentFormat,extentIllustrations_mv,extentSupplements,Feldbezeichnung,filePath,filterCollection_mv,gender,genre,genreOther_mv,genreSub,genreSubOther_mv,gnd_id_mv,gndRelation_comment_mv,gndRelation_id_mv,gndRelation_text_mv,gndRelation_type_mv,gnd_type_mv,headword_mv,holding_display_mv,holding_id_mv,host_display_mv,host_id_mv,id,identifier_id_mv,identifier_type_mv,index,inscription,inventory,inventoryMissing,inventoryNumber,isbn_mv,ismn_mv,issn_mv,item_display_mv,item_holding_display_mv,item_holding_id_mv,item_id_mv,itemization_extent_mv,itemization_status_mv,itemization_unit_mv,itemNumber,journalIssue_display_mv,journalIssue_id_mv,language_mv,languageOriginal_mv,library_display_mv,library_id_mv,locationBoxNumber,locationComment,locationFolderNumber,location_mv,manifestation_display,manifestation_id,manuscript_display_mv,manuscript_id_mv,material,mediaNumber,microform_mv,nameAlternative_comment_mv,nameAlternative_name_mv,nameAlternative_suffix_mv,nameAlternative_type_mv,nameFormerOrLater_display_mv,nameFormerOrLater_id_mv,nameOriginal_mv,nameTemporary_display_mv,nameTemporary_id_mv,notation,note,noteBibliography_mv,noteClassification,noteContent_mv,noteDimension,noteExplanatory_text_mv,noteExplanatory_type_mv,noteFootnote_text_mv,noteFootnote_type_mv,noteObjectType,noteOther_mv,noteProvenance_text_mv,noteProvenance_type_mv,noteRemark_text_mv,noteRemark_type_mv,noteRequirements_mv,object_display,object_id,occupation_mv,order_extent_mv,order_status_mv,order_unit_mv,parent_display_mv,parent_id_mv,parentIssueDate,parentIssueNumber,parentIssuePage,parentIssueVolume,parentIssueYear,parentIssueYearVolume,parentTitleOriginal_mv,parent_type_mv,parentVolume_mv,parentVolumeNormalized_mv,parentVolumeTotal,personAbout_comment_mv,personAbout_display_mv,personAbout_id_mv,personAbout_role_mv,personAt_display_mv,personAt_id_mv,personBy_comment_mv,personBy_creator_mv,personBy_display_mv,personBy_id_mv,personBy_role_mv,person_display_mv,person_id_mv,personTo_comment_mv,personTo_display_mv,personTo_id_mv,personTo_role_mv,photoNegativeNumber_mv,placeBirth,placeDeath,place_mv,predecessor_display_mv,predecessor_id_mv,provenance,publicationHistory,publisher_display_mv,publisher_id_mv,publisherOriginalLocation_mv,publisherOriginal_text_mv,publisherOriginal_type_mv,reference_text_mv,reference_type_mv,relation_display_mv,relation_id_mv,relation_type_mv,schemaVersion,scholarlyPublication_date_mv,scholarlyPublication_location_mv,scholarlyPublication_text_mv,scholarlyPublication_type_mv,seeAlso_display_mv,seeAlso_id_mv,sequence_mv,sortingKey,sortingKeySub,sortingTitleMain,sortingTitleOther,statusCataloging,statusEditing,statusItem,statusJournalReview,statusLoan,statusPreservation,storageArea,subject_display_mv,subject_id_mv,subjectLocation_comment_mv,subjectLocation_display_mv,subjectLocation_id_mv,subjectLocation_type_mv,subjectOther_mv,subject_type_mv,subseries,successor_display_mv,successor_id_mv,title,titleMain_category,titleMain_comment,titleMain_text,titleMain_type,titleOriginal,titleOther_category_mv,titleOther_comment_mv,titleOther_language_mv,titleOther_text_mv,titleOther_type_mv,titlePrefix,titleResponsability,titleResponsabilityFull,titleShort,titleSuffix,titleType,url,usageRestriction,usageRestrictionComment,usedFor_display_mv,usedFor_id_mv,useTerm_display_mv,useTerm_id_mv,vendor_id_mv,vendor_type_mv,virtualRecording,website_description_mv,website_url_mv,workAbout_display_mv,workAbout_id_mv,workCompilation_display_mv,workCompilation_id_mv,work_display_mv,work_id_mv
"",,202105056,,,,,,"G:Kracauer\, Siegfried (Bibliothek des Autors)",Krac2,,,,,,,,,,,,,,,,,Unbekannt / Notiz,,,SE00200023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-28,,,,2021-04-28,,,,,,,,,,,,,,,,,,,Mit handschriftlicher Notiz von unbekannter Hand auf dem vorderen Buchdeckel,,,,,,,,,,,,,,,,,,,,,,,"G:Kracauer\, Siegfried (Bibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Nachlass\, Autorenbibliothek]",BF00019677,,,AU01018252,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmagazin,Vom Ursprung sittlicher Erkenntnis : nebst kleineren Abhandlungen zur ethischen Erkenntnistheorie und Lebensweisheit - Zweite Auflage,AK00479339,,,,AU010182524,,,,,,,,,,,,Mit handschriftlicher Notiz von unbekannter Hand auf dem vorderen Buchdeckel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kracauer\, Siegfried (1889-1966),Kracauer\, Elisabeth (1893-1971)","PE00003459,PE00076544",,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,0.4,,,,,,,,,,,,,,Am Standort,,Am Standort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AU01018252,benutzbar,,,,,,,,,,,,,,,,
"",,202104527,,,,,,"G:Kracauer\, Siegfried (Bibliothek des Autors)",Krac2,,,,,,,,,,,,,,,,,"Kracauer\, Siegfried / Einlage: Zettel",,,SE00249262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-16,,,,2021-04-19,,,,,,,,,,,,,,,,,,,Einlage: Leere Karteikarte vor S. 21,,,,,,,,,,,,,,,,,,,,,,,"G:Kracauer\, Siegfried (Bibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Nachlass\, Autorenbibliothek]",BF00019677,,,AU01017571,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmagazin,¬Les¬ rois thaumaturges : étude sur le caractère surnaturel attribué à la puissance royale particulièrement en France et en Angleterre,AK01760499,,,,AU010175717,,,,,,,,,,,,Einlage: Leere Karteikarte vor S. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kracauer\, Siegfried (1889-1966),Kracauer\, Elisabeth (1893-1971)","PE00003459,PE00076544",,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,0.4,,,,,,,,,,,,,,Am Standort,,Am Standort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AU01017571,benutzbar,,,,,,,,,,,,,,,,
"",,202104635,,,,,,"G:Kracauer\, Siegfried (Bibliothek des Autors)",Krac2:Kps.,,,,,,,,,,,,,,,,,"Unbekannt / Notiz,Kracauer\, Siegfried / Exemplar: Autor / Merkzeichen",,,"SE00200023,SE00249261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-19,,,,2021-04-19,,,,,,,,,,,,,,,,,,,Mit handschriftlicher Überschrift von Unbekannt auf dem vorderen Buchdeckel. - Mit zahlreichen Anstreichungen von Kracauer,,,,,,,,,,,,,,,,,,,,,,,"G:Kracauer\, Siegfried (Bibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Nachlass\, Autorenbibliothek]",BF00019677,,,AU01017686,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmagazin,¬Das¬ Fernrohr und die Ohnmacht der Wahrheit : [Sonderdruck],AK01760623,,,,AU010176868,,,,,,,,,,,,Mit handschriftlicher Überschrift von Unbekannt auf dem vorderen Buchdeckel. - Mit zahlreichen Anstreichungen von Kracauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kracauer\, Siegfried (1889-1966),Kracauer\, Elisabeth (1893-1971)","PE00003459,PE00076544",,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,0.4,,,,,,,,,,,,,,Am Standort,,Am Standort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AU01017686,benutzbar,,,,,,,,,,,,,,,,
"",,202104770,,,,,,"G:Kracauer\, Siegfried (Bibliothek des Autors)",Krac2,,,,,,,,,,,,,,,,,"Kracauer\, Siegfried / Exemplar: Autor / Notiz / Merkzeichen,Kracauer\, Siegfried / Einlage: Zettel / Notiz,Kracauer\, Siegfried / Exemplar: Autor / Einlage: Zettel / Notiz",,,"SE00258914,SE00249239,SE00249445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-20,,,,2021-05-12,,,,,,,,,,,,,,,,,,,"mit handschriftlicher Notiz von Kracauer auf dem Schmutztitel. - Einlagen vor S. 19 und vor S. 111: leere Karteikarten(kassiert). - Einlage vor S. 119: beschriebene Karteikarte
Einlagen im Archiv, C:Kracauer, Einlagen 113",,,,,,,,,,,,,,,,,,,,,,,"G:Kracauer\, Siegfried (Bibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Nachlass\, Autorenbibliothek]",BF00019677,,,AU01017834,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmagazin,Paradigmen zu einer Metaphorologie : [Sonderdruck],AK01255663,,,,AU010178343,,,,,,,,,,,,"mit handschriftlicher Notiz von Kracauer auf dem Schmutztitel. - Einlagen vor S. 19 und vor S. 111: leere Karteikarten(kassiert). - Einlage vor S. 119: beschriebene Karteikarte
Einlagen im Archiv, C:Kracauer, Einlagen 113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kracauer\, Siegfried (1889-1966),Kracauer\, Elisabeth (1893-1971)","PE00003459,PE00076544",,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,0.4,,,,,,,,,,,,,,Am Standort,,Am Standort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AU01017834,benutzbar,,,,,,,,,,,,,,,,
"",,202104790,,,,,,"G:Kracauer\, Siegfried (Bibliothek des Autors)",Krac2:Kps.,,,,,,,,,,,,,,,,,"Kracauer\, Siegfried / Exemplar: Autor / Merkzeichen / Marginalie / Notiz,Unbekannt / Notiz",,,"SE00256153,SE00200023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-20,,,,2023-03-17,,,,,,,,,,,,,,,,,,,"Mit handschriftlicher Notiz von Kracauer auf dem vorderen Buchdeckel: ""Rec. Jan. 15, 1965"" und auf dem Titelblatt. - Mit zahlreichen Anmerkungen und Anstreichungen. - Mit handschriftlicher Notiz und Initiale von unbekannter Hand auf dem Titelblatt",,,,,,,,,,,,,,,,,,,,,,,"G:Kracauer\, Siegfried (Bibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Nachlass\, Autorenbibliothek]",BF00019677,,,AU01017854,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmagazin,Lebenswelt und Technisierung unter Aspekten der Phänomenologie,AK01760771,,,,AU01017854X,,,,,,,,,,,,"Mit handschriftlicher Notiz von Kracauer auf dem vorderen Buchdeckel: ""Rec. Jan. 15, 1965"" und auf dem Titelblatt. - Mit zahlreichen Anmerkungen und Anstreichungen. - Mit handschriftlicher Notiz und Initiale von unbekannter Hand auf dem Titelblatt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kracauer\, Siegfried (1889-1966),Kracauer\, Elisabeth (1893-1971)","PE00003459,PE00076544",,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,0.4,,,,,,,,,,,,,,Am Standort,,Am Standort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AU01017854,benutzbar,,,,,,,,,,,,,,,,
"",,202104793,,,,,,"G:Kracauer\, Siegfried (Bibliothek des Autors)",Krac2:Kps.,,,,,,,,,,,,,,,,,"Kracauer\, Siegfried / Exemplar: Autor / Merkzeichen / Marginalie / Notiz",,,SE00256153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-20,,,,2023-03-17,,,,,,,,,,,,,,,,,,,"Mit handschriftlicher Notiz von Kracauer auf dem vorderen Buchdeckel: ""Rec. Nov. 17,1964"" und mit zahlreichen Anmerkungen und Anstreichungen",,,,,,,,,,,,,,,,,,,,,,,"G:Kracauer\, Siegfried (Bibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Nachlass\, Autorenbibliothek]",BF00019677,,,AU01017857,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmagazin,Weltbilder und Weltmodelle : [Sonderdruck],AK01760773,,,,AU010178577,,,,,,,,,,,,"Mit handschriftlicher Notiz von Kracauer auf dem vorderen Buchdeckel: ""Rec. Nov. 17,1964"" und mit zahlreichen Anmerkungen und Anstreichungen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kracauer\, Siegfried (1889-1966),Kracauer\, Elisabeth (1893-1971)","PE00003459,PE00076544",,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,0.4,,,,,,,,,,,,,,Am Standort,,Am Standort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AU01017857,benutzbar,,,,,,,,,,,,,,,,
"",,202104833,,,,,,"G:Kracauer\, Siegfried (Bibliothek des Autors)",Krac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-22,,,,2021-05-12,,,,,,,,,,,,,,,,,,,"Einlage: Verlagswerbung des Rowohlt-Verlags
Einlagen im Archiv, C:Kracauer, Einlagen 114",,,,,,,,,,,,,,,,,,,,,,,"G:Kracauer\, Siegfried (Bibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Nachlass\, Autorenbibliothek]",BF00019677,,,AU01017967,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmagazin,Karl Marx : in Selbstzeugnissen und Bilddokumenten : [Biographie],AK01206712,,,,AU010179672,,,,,,,,,,,,"Einlage: Verlagswerbung des Rowohlt-Verlags
Einlagen im Archiv, C:Kracauer, Einlagen 114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kracauer\, Siegfried (1889-1966),Kracauer\, Elisabeth (1893-1971)","PE00003459,PE00076544",,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,0.4,,,,,,,,,,,,,,Am Standort,,Am Standort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AU01017967,benutzbar,,,,,,,,,,,,,,,,
"",,202104863,,,,,,"G:Kracauer\, Siegfried (Bibliothek des Autors)",Krac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-23,,,,2021-04-23,,,,,,,,,,,,,,,,,,,ohne Titel,,,,,,,,,,,,,,,,,,,,,,,"G:Kracauer\, Siegfried (Bibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Nachlass\, Autorenbibliothek]",BF00019677,,,AU01018020,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmagazin,¬Der¬ Marsch des Fascismus : [Übersetzung ins Deutsche],AK01381503,,,,AU010180207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kracauer\, Siegfried (1889-1966),Kracauer\, Elisabeth (1893-1971)","PE00003459,PE00076544",,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,0.4,,,,,,,,,,,,,,Am Standort,,Am Standort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AU01018020,benutzbar,,,,,,,,,,,,,,,,
"",,202104896,,,,,,"G:Kracauer\, Siegfried (Bibliothek des Autors)",Krac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-26,,,,2021-04-26,,,,,,,,,,,,,,,,,,,ohne Titel,,,,,,,,,,,,,,,,,,,,,,,"G:Kracauer\, Siegfried (Bibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Nachlass\, Autorenbibliothek]",BF00019677,,,AU01018176,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmagazin,"Histoire de la philosophie. - Tome 1. L'antiquité et le Moyen Age; 1. Introduction - Période Hellénique - 6e, 18e mille",AK01761066,,,,AU01018176X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kracauer\, Siegfried (1889-1966),Kracauer\, Elisabeth (1893-1971)","PE00003459,PE00076544",,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,0.4,,,,,,,,,,,,,,Am Standort,,Am Standort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AU01018176,benutzbar,,,,,,,,,,,,,,,,
"",,202104897,,,,,,"G:Kracauer\, Siegfried (Bibliothek des Autors)",Krac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-26,,,,2021-04-26,,,,,,,,,,,,,,,,,,,ohne Titel,,,,,,,,,,,,,,,,,,,,,,,"G:Kracauer\, Siegfried (Bibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Nachlass\, Autorenbibliothek]",BF00019677,,,AU01018178,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliotheksmagazin,"Histoire de la philosophie. - Tome 1. L'antiquité et le Moyen Age; 2. Période Hellénistique et Romaine - 5e, 16e mille",AK01761068,,,,AU010181788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kracauer\, Siegfried (1889-1966),Kracauer\, Elisabeth (1893-1971)","PE00003459,PE00076544",,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,0.4,,,,,,,,,,,,,,Am Standort,,Am Standort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AU01018178,benutzbar,,,,,,,,,,,,,,,,
