accession_display,accession_id,accessionNumber,accessLevel,acronym_mv,broadcastDate,broadcastStation,callNumberBibliographic_mv,callNumberCollection_mv,callNumberItem,callNumberItemSuffix,callNumberReadingRoom,category,categoryContent_mv,categoryEntity_mv,categoryIndex_mv,categoryMedia_mv,categoryMedium_mv,categoryPublication_mv,categorySub,categorySubSub,child_display_mv,child_id_mv,classificationAuthor_display_mv,classificationAuthor_id_mv,classificationChain,classification_display_mv,classificationForm_display_mv,classificationForm_id_mv,classification_id_mv,classificationNewspaper_comment_mv,classificationNewspaper_text_mv,classificationOther_comment_mv,classificationOther_text_mv,classificationSubject_display_mv,classificationSubject_id_mv,classificationSubjectOther_mv,confidential,content,corporationAbout_comment_mv,corporationAbout_display_mv,corporationAbout_id_mv,corporationAbout_role_mv,corporationAbout_type_mv,corporationAt_display_mv,corporationAt_id_mv,corporationBy_comment_mv,corporationByConference_creator_mv,corporationByConference_display_mv,corporationByConference_id_mv,corporationByConference_role_mv,corporationBy_creator_mv,corporationBy_display_mv,corporationBy_id_mv,corporationBy_role_mv,corporationByTerritory_creator_mv,corporationByTerritory_display_mv,corporationByTerritory_id_mv,corporationByTerritory_role_mv,corporationBy_type_mv,corporation_display_mv,corporation_id_mv,corporationTo_comment_mv,corporationTo_display_mv,corporationTo_id_mv,corporationTo_type_mv,country_mv,dateActivityEnd,dateActivityStart,dateCataloged,dateLifespanComment_mv,dateLifespanEnd,dateLifespanStart,dateModified,dateNote_mv,dateOrigin,dateOriginComment_mv,dateOriginEnd,dateOriginStart,dateOtherComment_mv,dateOther_mv,dateRetention,department,description_text_mv,description_type_mv,digitalObject_display_mv,digitalObject_id_mv,dimension_comment_mv,dimension_depth_mv,dimension_diameter_mv,dimension_height_mv,dimension_width_mv,display,edition,editionNormalized,enveloped,extent,extentFormat,extentIllustrations_mv,extentSupplements,Feldbezeichnung,filePath,filterCollection_mv,gender,genre,genreOther_mv,genreSub,genreSubOther_mv,gnd_id_mv,gndRelation_comment_mv,gndRelation_id_mv,gndRelation_text_mv,gndRelation_type_mv,gnd_type_mv,headword_mv,holding_display_mv,holding_id_mv,host_display_mv,host_id_mv,id,identifier_id_mv,identifier_type_mv,index,inscription,inventory,inventoryMissing,inventoryNumber,isbn_mv,ismn_mv,issn_mv,item_display_mv,item_holding_display_mv,item_holding_id_mv,item_id_mv,itemization_extent_mv,itemization_status_mv,itemization_unit_mv,itemNumber,journalIssue_display_mv,journalIssue_id_mv,language_mv,languageOriginal_mv,library_display_mv,library_id_mv,locationBoxNumber,locationComment,locationFolderNumber,location_mv,manifestation_display,manifestation_id,manuscript_display_mv,manuscript_id_mv,material,mediaNumber,microform_mv,nameAlternative_comment_mv,nameAlternative_name_mv,nameAlternative_suffix_mv,nameAlternative_type_mv,nameFormerOrLater_display_mv,nameFormerOrLater_id_mv,nameOriginal_mv,nameTemporary_display_mv,nameTemporary_id_mv,notation,note,noteBibliography_mv,noteClassification,noteContent_mv,noteDimension,noteExplanatory_text_mv,noteExplanatory_type_mv,noteFootnote_text_mv,noteFootnote_type_mv,noteObjectType,noteOther_mv,noteProvenance_text_mv,noteProvenance_type_mv,noteRemark_text_mv,noteRemark_type_mv,noteRequirements_mv,object_display,object_id,occupation_mv,order_extent_mv,order_status_mv,order_unit_mv,parent_display_mv,parent_id_mv,parentIssueDate,parentIssueNumber,parentIssuePage,parentIssueVolume,parentIssueYear,parentIssueYearVolume,parentTitleOriginal_mv,parent_type_mv,parentVolume_mv,parentVolumeNormalized_mv,parentVolumeTotal,personAbout_comment_mv,personAbout_display_mv,personAbout_id_mv,personAbout_role_mv,personAt_display_mv,personAt_id_mv,personBy_comment_mv,personBy_creator_mv,personBy_display_mv,personBy_id_mv,personBy_role_mv,person_display_mv,person_id_mv,personTo_comment_mv,personTo_display_mv,personTo_id_mv,personTo_role_mv,photoNegativeNumber_mv,placeBirth,placeDeath,place_mv,predecessor_display_mv,predecessor_id_mv,provenance,publicationHistory,publisher_display_mv,publisher_id_mv,publisherOriginalLocation_mv,publisherOriginal_text_mv,publisherOriginal_type_mv,reference_text_mv,reference_type_mv,relation_display_mv,relation_id_mv,relation_type_mv,schemaVersion,scholarlyPublication_date_mv,scholarlyPublication_location_mv,scholarlyPublication_text_mv,scholarlyPublication_type_mv,seeAlso_display_mv,seeAlso_id_mv,sequence_mv,sortingKey,sortingKeySub,sortingTitleMain,sortingTitleOther,statusCataloging,statusEditing,statusItem,statusJournalReview,statusLoan,statusPreservation,storageArea,subject_display_mv,subject_id_mv,subjectLocation_comment_mv,subjectLocation_display_mv,subjectLocation_id_mv,subjectLocation_type_mv,subjectOther_mv,subject_type_mv,subseries,successor_display_mv,successor_id_mv,title,titleMain_category,titleMain_comment,titleMain_text,titleMain_type,titleOriginal,titleOther_category_mv,titleOther_comment_mv,titleOther_language_mv,titleOther_text_mv,titleOther_type_mv,titlePrefix,titleResponsability,titleResponsabilityFull,titleShort,titleSuffix,titleType,url,usageRestriction,usageRestrictionComment,usedFor_display_mv,usedFor_id_mv,useTerm_display_mv,useTerm_id_mv,vendor_id_mv,vendor_type_mv,virtualRecording,website_description_mv,website_url_mv,workAbout_display_mv,workAbout_id_mv,workCompilation_display_mv,workCompilation_id_mv,work_display_mv,work_id_mv
"",,,,,,,,,,,,Bibliotheksdokumente,Text,,,"Druckschrift,pb,bu,bi",Band,Sonderdruck,Einzelne Einheit / nicht Teil eines Gesamtwerks,Druckschrift,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deutschland,,,2014-06-23,,,,2014-06-23,,1954,1954,,,,,,,,,,,,,,,,Kain und Abel : [Sonderdruck],,,,Seiten [356] - 362,,,,,,"G:Döblin\, Alfred (Teilbibliothek des Autors),G:Döblin\, Alfred (Teilbibliothek des Autors),G:Döblin\, Alfred (Teilbibliothek des Autors),G:Döblin\, Alfred (Teilbibliothek des Autors)",,,Sonstige Texte,,,,,,,,,,,,,,AK01381004,,,,,,,,,,,,"G:Döblin\, Alfred (Teilbibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Teilnachlass\, Autorenbibliothek],G:Döblin\, Alfred (Teilbibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Teilnachlass\, Autorenbibliothek],G:Döblin\, Alfred (Teilbibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Teilnachlass\, Autorenbibliothek],G:Döblin\, Alfred (Teilbibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Teilnachlass\, Autorenbibliothek]","BF00019097,BF00019097,BF00019097,BF00019097","AU00606757,AU00606758,AU00606759,AU00606760",,,,,,,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ausz. aus Döblin\, Alfred: Der Kampf mit dem Engel",501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,creator,"Döblin\, Alfred (1878-1957)",PE00006675,Verfasser/Urheber,,,,,,,,,,,,,,,Kösel,KS00000858,München ; Kempten,Kösel,v,,,,,,0.4,,,,,,,,,,,,"f-fertig, i-fertig",Abgeschlossen,,,,,,,,,,,,,,,,,Kain und Abel,,,Kain und Abel,,,,,,"Aus: Hochland\, 46 (1954)\, 4",370n,,von Alfred Döblin,,,,,https://www.dla-marbach.de/find/opac/id/AK01381004,,,,,,,1543438229,K10Plus-PPN,,,,,,,,,
"",,,,,,,,,,,,Zeitschriftenheft,Text,,,"Druckschrift,zh,bi",Band,,"Einzelne Einheit / Stücktitel, Band",Druckschrift,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deutschland,,,2014-06-24,,,,2014-06-24,,1947,1947,,,,,,,,,,,,,,,,"¬Das¬ goldene Tor : Zweimonatsschrift für Literatur und Kunst. - 2 (1947), 3/4",,,,,,,,,,"G:Döblin\, Alfred (Teilbibliothek des Autors),G:Döblin\, Alfred (Teilbibliothek des Autors),G:Döblin\, Alfred (Teilbibliothek des Autors)",,,,,,,,,,,,,,,,,AK01381107,,,,,,,,,,,,"G:Döblin\, Alfred (Teilbibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Teilnachlass\, Autorenbibliothek],G:Döblin\, Alfred (Teilbibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Teilnachlass\, Autorenbibliothek],G:Döblin\, Alfred (Teilbibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Teilnachlass\, Autorenbibliothek]","BF00019097,BF00019097,BF00019097","AU00606827,AU00606828,AU00747756",,,,,,,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¬Das¬ goldene Tor : Zweimonatsschrift für Literatur und Kunst,AK00004851,,,,,,,,,"2 (1947)\, 3-4",12 41947 13 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,"f-fertig,i-offen",Abgeschlossen,,,,,,,,,,,,,,,,,"¬Das¬ goldene Tor : Zweimonatsschrift für Literatur und Kunst. - 2 (1947), 3/4",,,,,,,,,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK01381107,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,Zeitschriftenheft,Text,,,"Druckschrift,zh,bi",Band,,"Einzelne Einheit / Stücktitel, Band",Druckschrift,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deutschland,,,2014-06-24,,,,2014-06-24,,1947,1947,,,,,,,,,,,,,,,,"¬Das¬ goldene Tor : Zweimonatsschrift für Literatur und Kunst. - 2 (1947), 7",,,,,,,,,,"G:Döblin\, Alfred (Teilbibliothek des Autors),G:Döblin\, Alfred (Teilbibliothek des Autors),G:Döblin\, Alfred (Teilbibliothek des Autors)",,,,,,,,,,,,,,,,,AK01381110,,,,,,,,,,,,"G:Döblin\, Alfred (Teilbibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Teilnachlass\, Autorenbibliothek],G:Döblin\, Alfred (Teilbibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Teilnachlass\, Autorenbibliothek],G:Döblin\, Alfred (Teilbibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Teilnachlass\, Autorenbibliothek]","BF00019097,BF00019097,BF00019097","AU00606831,AU00606832,AU00747761",,,,,,,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¬Das¬ goldene Tor : Zweimonatsschrift für Literatur und Kunst,AK00004851,,,,,,,,,"2 (1947)\, 7",12 41947 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,"f-fertig,i-offen",Abgeschlossen,,,,,,,,,,,,,,,,,"¬Das¬ goldene Tor : Zweimonatsschrift für Literatur und Kunst. - 2 (1947), 7",,,,,,,,,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK01381110,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,Zeitschriftenheft,Text,,,"Druckschrift,zh,bi",Band,,"Einzelne Einheit / Stücktitel, Band",Druckschrift,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deutschland bis 1949,,,2014-06-24,,,,2014-06-24,,1917,1917,,,,,,,,,,,,,,,,"Neue Rundschau. - 28 (1917), 3",,,,,,,,,,"G:Döblin\, Alfred (Teilbibliothek des Autors),G:Döblin\, Alfred (Teilbibliothek des Autors)",,,,,,,,,,,,,,,,,AK01381033,,,,,,,,,,,,"G:Döblin\, Alfred (Teilbibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Teilnachlass\, Autorenbibliothek],G:Döblin\, Alfred (Teilbibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Teilnachlass\, Autorenbibliothek]","BF00019097,BF00019097","AU00606776,AU00606777",,,,,,,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neue Rundschau,AK00003283,,,,,,,,,"28 (1917)\, 3",228 41917 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,"f-fertig,i-offen",Abgeschlossen,,,,,,,,,,,,,,,,,"Neue Rundschau. - 28 (1917), 3",,,,,,,,,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK01381033,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,Zeitschriftenheft,Text,,,"Druckschrift,zh,bi",Band,,"Einzelne Einheit / Stücktitel, Band",Druckschrift,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deutschland bis 1949,,,2014-06-24,,,,2014-06-24,,1919,1919,,,,,,,,,,,,,,,,"Neue Rundschau. - 30 (1919), 9",,,,,,,,,,"G:Döblin\, Alfred (Teilbibliothek des Autors),G:Döblin\, Alfred (Teilbibliothek des Autors)",,,,,,,,,,,,,,,,,AK01381071,,,,,,,,,,,,"G:Döblin\, Alfred (Teilbibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Teilnachlass\, Autorenbibliothek],G:Döblin\, Alfred (Teilbibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Teilnachlass\, Autorenbibliothek]","BF00019097,BF00019097","AU00606796,AU00606797",,,,,,,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neue Rundschau,AK00003283,,,,,,,,,"30 (1919)\, 9",230 41919 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,"f-fertig,i-offen",Abgeschlossen,,,,,,,,,,,,,,,,,"Neue Rundschau. - 30 (1919), 9",,,,,,,,,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK01381071,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,Zeitschriftenheft,Text,,,"Druckschrift,zh,bi",Band,,"Einzelne Einheit / Stücktitel, Band",Druckschrift,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deutschland bis 1949,,,2014-06-25,,,,2014-06-25,,1920,1920,,,,,,,,,,,,,,,,"Neue Rundschau. - 31 (1920), 8",,,,,,,,,,"G:Döblin\, Alfred (Teilbibliothek des Autors),G:Döblin\, Alfred (Teilbibliothek des Autors)",,,,,,,,,,,,,,,,,AK01381219,,,,,,,,,,,,"G:Döblin\, Alfred (Teilbibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Teilnachlass\, Autorenbibliothek],G:Döblin\, Alfred (Teilbibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Teilnachlass\, Autorenbibliothek]","BF00019097,BF00019097","AU00606925,AU00606926",,,,,,,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neue Rundschau,AK00003283,,,,,,,,,"31 (1920)\, 8",231 41920 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,"f-fertig,i-offen",Abgeschlossen,,,,,,,,,,,,,,,,,"Neue Rundschau. - 31 (1920), 8",,,,,,,,,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK01381219,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,Zeitschriftenheft,Text,,,"Druckschrift,zh,bi",Band,,"Einzelne Einheit / Stücktitel, Band",Druckschrift,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deutschland bis 1949,,,2014-06-25,,,,2014-06-25,,1920,1920,,,,,,,,,,,,,,,,"Neue Rundschau. - 31 (1920), 9",,,,,,,,,,"G:Döblin\, Alfred (Teilbibliothek des Autors),G:Döblin\, Alfred (Teilbibliothek des Autors)",,,,,,,,,,,,,,,,,AK01381220,,,,,,,,,,,,"G:Döblin\, Alfred (Teilbibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Teilnachlass\, Autorenbibliothek],G:Döblin\, Alfred (Teilbibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Teilnachlass\, Autorenbibliothek]","BF00019097,BF00019097","AU00606927,AU00606928",,,,,,,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neue Rundschau,AK00003283,,,,,,,,,"31 (1920)\, 9",231 41920 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,"f-fertig,i-offen",Abgeschlossen,,,,,,,,,,,,,,,,,"Neue Rundschau. - 31 (1920), 9",,,,,,,,,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK01381220,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,Zeitschriftenheft,Text,,,"Druckschrift,zh,bi",Band,,"Einzelne Einheit / Stücktitel, Band",Druckschrift,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deutschland bis 1949,,,2014-06-25,,,,2014-06-25,,1920,1920,,,,,,,,,,,,,,,,"Neue Rundschau. - 31 (1920), 11",,,,,,,,,,"G:Döblin\, Alfred (Teilbibliothek des Autors),G:Döblin\, Alfred (Teilbibliothek des Autors)",,,,,,,,,,,,,,,,,AK01381222,,,,,,,,,,,,"G:Döblin\, Alfred (Teilbibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Teilnachlass\, Autorenbibliothek],G:Döblin\, Alfred (Teilbibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Teilnachlass\, Autorenbibliothek]","BF00019097,BF00019097","AU00606929,AU00606930",,,,,,,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neue Rundschau,AK00003283,,,,,,,,,"31 (1920)\, 11",231 41920 211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,"f-fertig,i-offen",Abgeschlossen,,,,,,,,,,,,,,,,,"Neue Rundschau. - 31 (1920), 11",,,,,,,,,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK01381222,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,Zeitschriftenheft,Text,,,"Druckschrift,zh,bi",Band,,"Einzelne Einheit / Stücktitel, Band",Druckschrift,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deutschland bis 1949,,,2014-06-25,,,,2014-06-25,,1921,1921,,,,,,,,,,,,,,,,"Neue Rundschau. - 32 (1921), 10",,,,,,,,,,"G:Döblin\, Alfred (Teilbibliothek des Autors),G:Döblin\, Alfred (Teilbibliothek des Autors)",,,,,,,,,,,,,,,,,AK01381227,,,,,,,,,,,,"G:Döblin\, Alfred (Teilbibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Teilnachlass\, Autorenbibliothek],G:Döblin\, Alfred (Teilbibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Teilnachlass\, Autorenbibliothek]","BF00019097,BF00019097","AU00606936,AU00606938",,,,,,,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neue Rundschau,AK00003283,,,,,,,,,"32 (1921)\, 10",232 41921 210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,"f-fertig,i-offen",Abgeschlossen,,,,,,,,,,,,,,,,,"Neue Rundschau. - 32 (1921), 10",,,,,,,,,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK01381227,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,Zeitschriftenheft,Text,,,"Druckschrift,zh,bi",Band,,"Einzelne Einheit / Stücktitel, Band",Druckschrift,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deutschland bis 1949,,,2014-06-24,,,,2014-06-24,,1919,1919,,,,,,,,,,,,,,,,"Neue Rundschau. - 30 (1919), 11",,,,,,,,,,"G:Döblin\, Alfred (Teilbibliothek des Autors),G:Döblin\, Alfred (Teilbibliothek des Autors)",,,,,,,,,,,,,,,,,AK01381076,,,,,,,,,,,,"G:Döblin\, Alfred (Teilbibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Teilnachlass\, Autorenbibliothek],G:Döblin\, Alfred (Teilbibliothek des Autors) - [Geschlossener Bestand der Bibliothek\, Teilnachlass\, Autorenbibliothek]","BF00019097,BF00019097","AU00606799,AU00606800",,,,,,,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neue Rundschau,AK00003283,,,,,,,,,"30 (1919)\, 11",230 41919 211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,"f-fertig,i-offen",Abgeschlossen,,,,,,,,,,,,,,,,,"Neue Rundschau. - 30 (1919), 11",,,,,,,,,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK01381076,,,,,,,,,,,,,,,,,
