accession_display,accession_id,accessionNumber,accessLevel,acronym_mv,broadcastDate,broadcastStation,callNumberBibliographic_mv,callNumberCollection_mv,callNumberItem,callNumberItemSuffix,callNumberReadingRoom,category,categoryContent_mv,categoryEntity_mv,categoryIndex_mv,categoryMedia_mv,categoryMedium_mv,categoryPublication_mv,categorySub,categorySubSub,child_display_mv,child_id_mv,classificationAuthor_display_mv,classificationAuthor_id_mv,classificationChain,classification_display_mv,classificationForm_display_mv,classificationForm_id_mv,classification_id_mv,classificationNewspaper_comment_mv,classificationNewspaper_text_mv,classificationOther_comment_mv,classificationOther_text_mv,classificationSubject_display_mv,classificationSubject_id_mv,classificationSubjectOther_mv,confidential,content,corporationAbout_comment_mv,corporationAbout_display_mv,corporationAbout_id_mv,corporationAbout_role_mv,corporationAbout_type_mv,corporationAt_display_mv,corporationAt_id_mv,corporationBy_comment_mv,corporationByConference_creator_mv,corporationByConference_display_mv,corporationByConference_id_mv,corporationByConference_role_mv,corporationBy_creator_mv,corporationBy_display_mv,corporationBy_id_mv,corporationBy_role_mv,corporationByTerritory_creator_mv,corporationByTerritory_display_mv,corporationByTerritory_id_mv,corporationByTerritory_role_mv,corporationBy_type_mv,corporation_display_mv,corporation_id_mv,corporationTo_comment_mv,corporationTo_display_mv,corporationTo_id_mv,corporationTo_type_mv,country_mv,dateActivityEnd,dateActivityStart,dateCataloged,dateLifespanComment_mv,dateLifespanEnd,dateLifespanStart,dateModified,dateNote_mv,dateOrigin,dateOriginComment_mv,dateOriginEnd,dateOriginStart,dateOtherComment_mv,dateOther_mv,dateRetention,department,description_text_mv,description_type_mv,digitalObject_display_mv,digitalObject_id_mv,dimension_comment_mv,dimension_depth_mv,dimension_diameter_mv,dimension_height_mv,dimension_width_mv,display,edition,editionNormalized,enveloped,extent,extentFormat,extentIllustrations_mv,extentSupplements,Feldbezeichnung,filePath,filterCollection_mv,gender,genre,genreOther_mv,genreSub,genreSubOther_mv,gnd_id_mv,gndRelation_comment_mv,gndRelation_id_mv,gndRelation_text_mv,gndRelation_type_mv,gnd_type_mv,headword_mv,holding_display_mv,holding_id_mv,host_display_mv,host_id_mv,id,identifier_id_mv,identifier_type_mv,index,inscription,inventory,inventoryMissing,inventoryNumber,isbn_mv,ismn_mv,issn_mv,item_display_mv,item_holding_display_mv,item_holding_id_mv,item_id_mv,itemization_extent_mv,itemization_status_mv,itemization_unit_mv,itemNumber,journalIssue_display_mv,journalIssue_id_mv,language_mv,languageOriginal_mv,library_display_mv,library_id_mv,locationBoxNumber,locationComment,locationFolderNumber,location_mv,manifestation_display,manifestation_id,manuscript_display_mv,manuscript_id_mv,material,mediaNumber,microform_mv,nameAlternative_comment_mv,nameAlternative_name_mv,nameAlternative_suffix_mv,nameAlternative_type_mv,nameFormerOrLater_display_mv,nameFormerOrLater_id_mv,nameOriginal_mv,nameTemporary_display_mv,nameTemporary_id_mv,notation,note,noteBibliography_mv,noteClassification,noteContent_mv,noteDimension,noteExplanatory_text_mv,noteExplanatory_type_mv,noteFootnote_text_mv,noteFootnote_type_mv,noteObjectType,noteOther_mv,noteProvenance_text_mv,noteProvenance_type_mv,noteRemark_text_mv,noteRemark_type_mv,noteRequirements_mv,object_display,object_id,occupation_mv,order_extent_mv,order_status_mv,order_unit_mv,parent_display_mv,parent_id_mv,parentIssueDate,parentIssueNumber,parentIssuePage,parentIssueVolume,parentIssueYear,parentIssueYearVolume,parentTitleOriginal_mv,parent_type_mv,parentVolume_mv,parentVolumeNormalized_mv,parentVolumeTotal,personAbout_comment_mv,personAbout_display_mv,personAbout_id_mv,personAbout_role_mv,personAt_display_mv,personAt_id_mv,personBy_comment_mv,personBy_creator_mv,personBy_display_mv,personBy_id_mv,personBy_role_mv,person_display_mv,person_id_mv,personTo_comment_mv,personTo_display_mv,personTo_id_mv,personTo_role_mv,photoNegativeNumber_mv,placeBirth,placeDeath,place_mv,predecessor_display_mv,predecessor_id_mv,provenance,publicationHistory,publisher_display_mv,publisher_id_mv,publisherOriginalLocation_mv,publisherOriginal_text_mv,publisherOriginal_type_mv,reference_text_mv,reference_type_mv,relation_display_mv,relation_id_mv,relation_type_mv,schemaVersion,scholarlyPublication_date_mv,scholarlyPublication_location_mv,scholarlyPublication_text_mv,scholarlyPublication_type_mv,seeAlso_display_mv,seeAlso_id_mv,sequence_mv,sortingKey,sortingKeySub,sortingTitleMain,sortingTitleOther,statusCataloging,statusEditing,statusItem,statusJournalReview,statusLoan,statusPreservation,storageArea,subject_display_mv,subject_id_mv,subjectLocation_comment_mv,subjectLocation_display_mv,subjectLocation_id_mv,subjectLocation_type_mv,subjectOther_mv,subject_type_mv,subseries,successor_display_mv,successor_id_mv,title,titleMain_category,titleMain_comment,titleMain_text,titleMain_type,titleOriginal,titleOther_category_mv,titleOther_comment_mv,titleOther_language_mv,titleOther_text_mv,titleOther_type_mv,titlePrefix,titleResponsability,titleResponsabilityFull,titleShort,titleSuffix,titleType,url,usageRestriction,usageRestrictionComment,usedFor_display_mv,usedFor_id_mv,useTerm_display_mv,useTerm_id_mv,vendor_id_mv,vendor_type_mv,virtualRecording,website_description_mv,website_url_mv,workAbout_display_mv,workAbout_id_mv,workCompilation_display_mv,workCompilation_id_mv,work_display_mv,work_id_mv
"",,,,,,,,,,,,Werktitel,,,,,,,Einzelne Einheit / nicht Teil eines Gesamtwerks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-09-09,,,,2018-11-13,,1971,1971,,,,,,,,,,,,,,,,"Kracauer, Siegfried (1889-1966). Der Detektiv-Roman (1971)",,,,,,,,,,,,,,,,,,,,,,,,,,,AK01190456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Erstmals 1971 in ""Schriften""\, 1. Ein Kapitel erschien bereits 1963 unter dem Titel ""Hotelhalle""",Geschichte des Werks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,creator,"Kracauer\, Siegfried (1889-1966)",PE00003459,Verfasser/Urheber,,,,,,,,,,,,,,,,,,,Erscheinungsjahr,"Levin\, Thomas Y.: Siegfried Kracauer. - 1989",positiv,,,,0.4,,,,,,,,,,,,"f-fehlt,i-fehlt",Abgeschlossen,,,,,,,,,,,,,,,,,"Kracauer, Siegfried <1889-1966>. ¬Der¬ Detektiv-Roman (1971)",,,Der Detektiv-Roman,,,,,,"Le Roman Policier,Sociologia del romanzo poliziesco,Romanzo poliziesco,Detektivskijat roman","370n,370n,370n,370n",,,,,,,https://www.dla-marbach.de/find/opac/id/AK01190456,,,,,,,1112622365,GND (Werktitel),,,,,,,,,
"",,,,,,,,,,,,Werktitel,,,,,,,Einzelne Einheit / nicht Teil eines Gesamtwerks,,,,,,,,,,,,,,,,,12.2p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deutschland,USA",,,2001-11-21,,,,2019-09-10,,1947,1947,,,,,,,,,,,,,,,,"Kracauer, Siegfried (1889-1966). From Caligari to Hitler (1947)",,,,,,,,,,,,,,,,,,,,,,1947,,,,,AK00112465,,,,,,,,,,,,,,,,,,,,,Englisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geschichte des Films in Deutschland\, von Kracauer im Exil geschrieben und zuerst in englischer Sprache 1947 erschienen. Französische Übersetzung der Einleitung 1948 erschienen in Revue internationale de filmologie\, Jg. 1\, Nr. 3-4. Übersetzt von Etienne Verley. Erste dt. Übers. 1958",Geschichte des Werks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,creator,"Kracauer\, Siegfried (1889-1966)",PE00003459,Verfasser/Urheber,,,,,,,,,,,,,,,,,,,Erscheinungsjahr,"Kosch Lit.,DNB,DLA Marbach\, Bestand A:Kracauer\, Siegfried,Levin\, Thomas Y.: Siegfried Kracauer. - 1989","positiv,positiv,positiv,positiv",,,,0.4,,,,,,,,,,,,"f-fehlt,i-fehlt",Abgeschlossen,,,,,,,,,,,,,,,,,"Kracauer, Siegfried <1889-1966>. From Caligari to Hitler (1947)",,,From Caligari to Hitler,,,,,,"De Caligari a Hitler,Cinema tedesco,Von Caligari bis Hitler,Von Caligari zu Hitler,""Gabinetto del Dott. Caligari"" a Hitler,Od Caligariego do Hitlera,De Caligari à Hitler,Caligarista Hitleriin,Caligari kara Hitler E,Caligari kara Hitler made,Psihologiceskaja istorija nemezkogo kino,Od Caligariho k Hitlerovi,Caligaritól Hitlerig,History of a German Film","370n,370n,370n,370n,370n,370n,370n,370n,370n,370n,370n,370n,370n,370n",,,,,,,https://www.dla-marbach.de/find/opac/id/AK00112465,,,,,,,"4781201-1,388172630","GND (Werktitel),K10Plus-PPN",,,,,,,,,
"",,,,,,,,,,,,Werktitel,,,,,,,Einzelne Einheit / nicht Teil eines Gesamtwerks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deutschland,,,2009-12-28,,,,2019-01-22,,1973,1973,,,,,,,,,,,,,,,,"Kracauer, Siegfried (1889-1966). Georg (Roman : 1973)",,,,,,,,,,,,,Roman,,,,,,,,,,,,,,AK01004057,,,,,,,,,,,,,,,,,,,,,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Entstanden 1928-34\, zuerst erschienen posthum 1973\, Fortsetzung von ""Ginster""",Geschichte des Werks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,creator,"Kracauer\, Siegfried (1889-1966)",PE00003459,Verfasser/Urheber,,,,,,,,,,,,,,,,,,,Erscheinungsjahr,"Levin\, Thomas Y: Siegfried Kracauer. - 1989",positiv,,,,0.4,,,,,,,,,,,,,Abgeschlossen,,,,,,,,,,,,,,,,,"Kracauer, Siegfried <1889-1966>. Georg (Roman : 1973)",,,Georg,,,,,,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK01004057,,,,,,,"1162983639,1027082890","GND (Werktitel),K10Plus-PPN",,,,,,,,,
"",,,,,,,,,,,,Werktitel,,,,,,,Einzelne Einheit / nicht Teil eines Gesamtwerks,,,,,,,,,,,,,,,,,"12.2p,4.7p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-05-03,,,,2019-01-25,,1969,1969,,,,,,,,,,,,,,,,"Kracauer, Siegfried (1889-1966). History (1969)",,,,,,,,,,,,,,,,,,,,,,,,,,,AK01036576,,,,,,,,,,,,,,,,,,,,,Englisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geschichtsphilosophisches Werk\, zu Lebzeiten Kracauers unvollendet geblieben\, postum veröffentlicht (New York 1969\, Dt. Ffm 1973)",Geschichte des Werks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,creator,"Kracauer\, Siegfried (1889-1966)",PE00003459,Verfasser/Urheber,,,,,,,,,,,,,,,,,,,Erscheinungsjahr,"Killy (CD-ROM),BVB,DNB","positiv,positiv,positiv",,,,0.4,,,,,,,,,,,,"f-fehlt,i-fehlt",Abgeschlossen,,,,,,,,,,,,,,,,,"Kracauer, Siegfried <1889-1966>. History (1969)",,,History,,,,,,"History\, the Last Things before the Last,The last things before the last,Geschichte\, vor den letzten Dingen,Prima della cose ultime,Rekishi","370n,370n,370n,370n,370n",,,,,,,https://www.dla-marbach.de/find/opac/id/AK01036576,,,,,,,1069011533,GND (Werktitel),,,,,,,,,
"",,,,,,,,,,,,Werktitel,,,,,,,Einzelne Einheit / nicht Teil eines Gesamtwerks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-04-18,,,,2019-04-18,,1925,1925,,,,,,,,,,,,,,,,"Kracauer, Siegfried (1889-1966). Rezension von: Ferdinand Tönnies, Leben und Lehre. Dritte Auflage. Georg Stieler, Nikolaus Malebranche (Rezension : 1925)",,,,,,,,,,,,,Rezension,,,,,,,,,,,,,,AK01675555,,,,,,,,,,,,,,,,,,,,,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Titel fingiert,Verwendungshinweis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,creator,"Kracauer\, Siegfried (1889-1966)",PE00003459,Verfasser/Urheber,,,,,,,,,,,,,,,,,,,Erscheinungsjahr,"Levin\, Thomas Y.: Siegfried Kracauer. - 1989",positiv,,,,0.4,,,,,,,,,,,,,Abgeschlossen,,,,,,,,,,,,,,,,,"Kracauer, Siegfried <1889-1966>. Rezension von: Ferdinand Tönnies, Leben und Lehre. Dritte Auflage. Georg Stieler, Nikolaus Malebranche (Rezension : 1925)",,,"Rezension von: Ferdinand Tönnies, Leben und Lehre. Dritte Auflage. Georg Stieler, Nikolaus Malebranche",,,,,,,,,,,,,,https://www.dla-marbach.de/find/opac/id/AK01675555,,,,,,,1183939752,GND (Werktitel),,,,,,,,,
"",,,,,,,,,,,,Werktitel,,,,,,,Einzelne Einheit / nicht Teil eines Gesamtwerks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-04-26,,,,2019-04-26,,1927,1927,,,,,,,,,,,,,,,,"Kracauer, Siegfried (1889-1966). Die im Schatten leben (Filmkritik : 1927)",,,,,,,,,,,,,Filmkritik,,,,,,,,,,,,,,AK01676108,,,,,,,,,,,,,,,,,,,,,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deutsche Filmfassung erschienen unter dem Titel ""Die im Schatten leben""",Geschichte des Werks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,creator,"Kracauer\, Siegfried (1889-1966)",PE00003459,Verfasser/Urheber,,,,,,,,,,,,,,,,,,,Erscheinungsjahr,"Levin\, Thomas Y.: Siegfried Kracauer. - 1989",positiv,,,,0.4,,,,,,,,,,,,,Abgeschlossen,,,,,,,,,,,,,,,,,"Kracauer, Siegfried <1889-1966>. ¬Die¬ im Schatten leben (Filmkritik : 1927)",,,Die im Schatten leben,,,,,,Rezension von: Lady of the night,370n,,,,,,,https://www.dla-marbach.de/find/opac/id/AK01676108,,,,,,,1184633037,GND (Werktitel),,,,,,,,,
"",,,,,,,,,,,,Werktitel,,,,,,,Einzelne Einheit / nicht Teil eines Gesamtwerks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-10,,,,2019-05-13,,1927,1927,,,,,,,,,,,,,,,,"Kracauer, Siegfried (1889-1966). Der Zionistenkongress (1927)",,,,,,,,,,,,,,,,,Nachfolger,AK01678597,"Kracauer\, Siegfried <1889-1966>. ¬Der¬ Zionistenkongress (1927 September 01\, 1. Morgenblatt)",Werk: Werk,,31.08.1927,,,,,AK01678594,,,,,,,,,,,,,,,,,,,,,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zum Eröffnungsvortrag von Dr. Chaim Weizmann,Geschichte des Werks,1927 August 31,381a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,creator,"Kracauer\, Siegfried (1889-1966)",PE00003459,Verfasser/Urheber,,,,,,,,,,,,,,,,,,,Erscheinungsjahr,"Levin\, Thomas Y.: Siegfried Kracauer. - 1989",positiv,,,,0.4,,,,,,,,,,,,,Abgeschlossen,,,,,,,,,,,,,,,,,"Kracauer, Siegfried <1889-1966>. ¬Der¬ Zionistenkongress (1927 August 31)",,,Der Zionistenkongress,,,,,,Der Zionistenkongreß,370n,,,,,,,https://www.dla-marbach.de/find/opac/id/AK01678594,,,,,,,118599999X,GND (Werktitel),,,,,,,,,
"",,,,,,,,,,,,Werktitel,,,,,,,Einzelne Einheit / nicht Teil eines Gesamtwerks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-04-29,,,,2019-04-29,,1927,1927,,,,,,,,,,,,,,,,"Kracauer, Siegfried (1889-1966). Ein neuer Asta Nielsen-Film (Filmkritik : 1927)",,,,,,,,,,,,,Filmkritik,,,,,,,,,,,,,,AK01676162,,,,,,,,,,,,,,,,,,,,,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,creator,"Kracauer\, Siegfried (1889-1966)",PE00003459,Verfasser/Urheber,,,,,,,,,,,,,,,,,,,Erscheinungsjahr,"Levin\, Thomas Y.: Siegfried Kracauer. - 1989",positiv,,,,0.4,,,,,,,,,,,,,Abgeschlossen,,,,,,,,,,,,,,,,,"Kracauer, Siegfried <1889-1966>. ¬Ein¬ neuer Asta Nielsen-Film (Filmkritik : 1927)",,,Ein neuer Asta Nielsen-Film,,,,,,Rezension von: Dirnentragödie,370n,,,,,,,https://www.dla-marbach.de/find/opac/id/AK01676162,,,,,,,1184820015,GND (Werktitel),,,,,,,,,
"",,,,,,,,,,,,Werktitel,,,,,,,Einzelne Einheit / nicht Teil eines Gesamtwerks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-10,,,,2019-05-13,,1927,1927,,,,,,,,,,,,,,,,"Kracauer, Siegfried (1889-1966). Der Zionistenkongress (1927)",,,,,,,,,,,,,,,,,Nachfolger,AK01678643,"Kracauer\, Siegfried <1889-1966>. ¬Der¬ Baseler Zionistenkongress (1927)",Werk: Werk,,05.09.1927,,,,,AK01678601,,,,,,,,,,,,,,,,,,,,,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schluss der Generaldebatte,Geschichte des Werks,1927 September 05,381a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,creator,"Kracauer\, Siegfried (1889-1966)",PE00003459,Verfasser/Urheber,,,,,,,,,,,,,,,,,,,Erscheinungsjahr,"Levin\, Thomas Y.: Siegfried Kracauer. - 1989",positiv,,,,0.4,,,,,,,,,,,,,Abgeschlossen,,,,,,,,,,,,,,,,,"Kracauer, Siegfried <1889-1966>. ¬Der¬ Zionistenkongress (1927 September 05)",,,Der Zionistenkongress,,,,,,Der Zionistenkongreß,370n,,,,,,,https://www.dla-marbach.de/find/opac/id/AK01678601,,,,,,,1185999876,GND (Werktitel),,,,,,,,,
"",,,,,,,,,,,,Werktitel,,,,,,,Einzelne Einheit / nicht Teil eines Gesamtwerks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-04-29,,,,2019-04-29,,1927,1927,,,,,,,,,,,,,,,,"Kracauer, Siegfried (1889-1966). Buster Keaton im Krieg (Filmkritik : 1927)",,,,,,,,,,,,,Filmkritik,,,,Bezug: Enthalten in,117622719X,"Kracauer\, Siegfried <1889-1966>. Kino (Zusammenstellung : 1974)",Werk: Werk,,,,,,,AK01676168,,,,,,,,,,,,,,,,,,,,,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deutsche Filmfassung erschienen unter dem Titel ""Der General""",Geschichte des Werks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,creator,"Kracauer\, Siegfried (1889-1966)",PE00003459,Verfasser/Urheber,,,,,,,,,,,,,,,,,,,Erscheinungsjahr,"Levin\, Thomas Y.: Siegfried Kracauer. - 1989",positiv,,,,0.4,,,,,,,,,,,,,Abgeschlossen,,,,,,,,,,,,,,,,,"Kracauer, Siegfried <1889-1966>. Buster Keaton im Krieg (Filmkritik : 1927)",,,Buster Keaton im Krieg,,,,,,Rezension von: The general,370n,,,,,,,https://www.dla-marbach.de/find/opac/id/AK01676168,,,,,,,1184821267,GND (Werktitel),,,,,,,,,
